,x,y,z,layer,region,type
212,3465.728370192135,-1152.048833014751,-3086.221264092856,L6,S1FL,ObjectiveCSD_Disk_50
213,3477.7758701921352,-1155.0683330147508,-3070.545264092856,L6,S1FL,ObjectiveCSD_Disk_50
214,3489.8233701921354,-1158.087833014751,-3054.8692640928557,L6,S1FL,ObjectiveCSD_Disk_50
215,3501.870870192135,-1161.107333014751,-3039.192764092856,L6,S1FL,ObjectiveCSD_Disk_50
216,3513.918370192135,-1164.126833014751,-3023.516264092856,L6,S1FL,ObjectiveCSD_Disk_50
217,3525.9658701921353,-1167.1463330147508,-3007.840264092856,L6,S1FL,ObjectiveCSD_Disk_50
218,3538.013370192135,-1170.165833014751,-2992.164264092856,L6,S1FL,ObjectiveCSD_Disk_50
219,3550.060870192135,-1173.185333014751,-2976.488264092856,L6,S1FL,ObjectiveCSD_Disk_50
220,3562.108370192135,-1176.2048330147509,-2960.812264092856,L6,S1FL,ObjectiveCSD_Disk_50
221,3574.1553701921353,-1179.2243330147508,-2945.135764092856,L6,S1FL,ObjectiveCSD_Disk_50
222,3586.2023701921353,-1182.2438330147509,-2929.459264092856,L6,S1FL,ObjectiveCSD_Disk_50
223,3598.249870192135,-1185.263333014751,-2913.783264092856,L6,S1FL,ObjectiveCSD_Disk_50
224,3610.297370192135,-1188.2828330147508,-2898.107264092856,L6,S1FL,ObjectiveCSD_Disk_50
225,3622.344870192135,-1191.302333014751,-2882.430764092856,L6,S1FL,ObjectiveCSD_Disk_50
226,3634.392370192135,-1194.321833014751,-2866.754264092856,L6,S1FL,ObjectiveCSD_Disk_50
227,3646.439870192135,-1197.341333014751,-2851.078264092856,L6,S1FL,ObjectiveCSD_Disk_50
228,3658.487370192135,-1200.360833014751,-2835.402264092856,L6,S1FL,ObjectiveCSD_Disk_50
229,3670.534870192135,-1203.3803330147512,-2819.7262640928557,L6,S1FL,ObjectiveCSD_Disk_50
230,3682.582370192135,-1206.399833014751,-2804.0502640928557,L6,S1FL,ObjectiveCSD_Disk_50
231,3694.629370192135,-1209.419333014751,-2788.3737640928557,L6,S1FL,ObjectiveCSD_Disk_50
232,3706.676370192135,-1212.438833014751,-2772.697264092856,L6,S1FL,ObjectiveCSD_Disk_50
233,3718.723870192135,-1215.4583330147511,-2757.0212640928557,L6,S1FL,ObjectiveCSD_Disk_50
234,3730.7713701921352,-1218.477833014751,-2741.345264092856,L6,S1FL,ObjectiveCSD_Disk_50
235,3742.8188701921354,-1221.497333014751,-2725.668764092856,L6,S1FL,ObjectiveCSD_Disk_50
236,3754.866370192135,-1224.516833014751,-2709.9922640928557,L6,S1FL,ObjectiveCSD_Disk_50
237,3766.913870192135,-1227.536333014751,-2694.316264092856,L5,S1FL,ObjectiveCSD_Disk_50
238,3778.9613701921353,-1230.555833014751,-2678.640264092856,L5,S1FL,ObjectiveCSD_Disk_50
239,3791.0083701921353,-1233.574833014751,-2662.964264092856,L5,S1FL,ObjectiveCSD_Disk_50
240,3803.0553701921353,-1236.593833014751,-2647.288264092856,L5,S1FL,ObjectiveCSD_Disk_50
241,3815.102870192135,-1239.6133330147509,-2631.611764092856,L5,S1FL,ObjectiveCSD_Disk_50
242,3827.150370192135,-1242.632833014751,-2615.935264092856,L5,S1FL,ObjectiveCSD_Disk_50
243,3839.1978701921353,-1245.652333014751,-2600.259264092856,L5,S1FL,ObjectiveCSD_Disk_50
244,3851.245370192135,-1248.671833014751,-2584.583264092856,L5,S1FL,ObjectiveCSD_Disk_50
245,3863.292870192135,-1251.6913330147509,-2568.906764092856,L5,S1FL,ObjectiveCSD_Disk_50
246,3875.340370192135,-1254.710833014751,-2553.230264092856,L5,S1FL,ObjectiveCSD_Disk_50
247,3887.387870192135,-1257.730333014751,-2537.554264092856,L5,S1FL,ObjectiveCSD_Disk_50
248,3899.435370192135,-1260.749833014751,-2521.8782640928557,L5,S1FL,ObjectiveCSD_Disk_50
249,3911.482370192135,-1263.7693330147508,-2506.202264092856,L5,S1FL,ObjectiveCSD_Disk_50
250,3923.529370192135,-1266.788833014751,-2490.526264092856,L5,S1FL,ObjectiveCSD_Disk_50
251,3935.576870192135,-1269.808333014751,-2474.849764092856,L5,S1FL,ObjectiveCSD_Disk_50
252,3947.6243701921353,-1272.827833014751,-2459.173264092856,L5,S1FL,ObjectiveCSD_Disk_50
253,3959.6718701921354,-1275.8473330147508,-2443.497264092856,L5,S1FL,ObjectiveCSD_Disk_50
254,3971.719370192135,-1278.866833014751,-2427.821264092856,L5,S1FL,ObjectiveCSD_Disk_50
255,3983.766870192135,-1281.886333014751,-2412.144764092856,L5,S1FL,ObjectiveCSD_Disk_50
256,3995.814370192135,-1284.905833014751,-2396.468264092856,L5,S1FL,ObjectiveCSD_Disk_50
257,4007.861370192135,-1287.9253330147508,-2380.792264092856,L5,S1FL,ObjectiveCSD_Disk_50
258,4019.908370192135,-1290.9448330147509,-2365.116264092856,L5,S1FL,ObjectiveCSD_Disk_50
259,4031.955870192135,-1293.964333014751,-2349.440264092856,L5,S1FL,ObjectiveCSD_Disk_50
260,4044.003370192135,-1296.9838330147509,-2333.764264092856,L5,S1FL,ObjectiveCSD_Disk_50
261,4056.0508701921353,-1300.0033330147508,-2318.087764092856,L5,S1FL,ObjectiveCSD_Disk_50
262,4068.098370192135,-1303.0228330147509,-2302.411264092856,L4,S1FL,ObjectiveCSD_Disk_50
263,4080.145870192135,-1306.042333014751,-2286.7352640928557,L4,S1FL,ObjectiveCSD_Disk_50
264,4092.1933701921353,-1309.0618330147508,-2271.0592640928558,L4,S1FL,ObjectiveCSD_Disk_50
265,4104.240870192136,-1312.081333014751,-2255.3827640928557,L4,S1FL,ObjectiveCSD_Disk_50
266,4116.2883701921355,-1315.100833014751,-2239.706264092856,L4,S1FL,ObjectiveCSD_Disk_50
267,4128.335370192135,-1318.120333014751,-2224.0302640928558,L4,S1FL,ObjectiveCSD_Disk_50
268,4140.382370192136,-1321.139833014751,-2208.354264092856,L4,S1FL,ObjectiveCSD_Disk_50
269,4152.429870192135,-1324.158833014751,-2192.678264092856,L4,S1FL,ObjectiveCSD_Disk_50
270,4164.477370192135,-1327.1778330147508,-2177.002264092856,L4,S1FL,ObjectiveCSD_Disk_50
271,4176.5248701921355,-1330.197333014751,-2161.325764092856,L4,S1FL,ObjectiveCSD_Disk_50
272,4188.572370192135,-1333.216833014751,-2145.649264092856,L3,S1FL,ObjectiveCSD_Disk_50
273,4200.619870192135,-1336.236333014751,-2129.973264092856,L3,S1FL,ObjectiveCSD_Disk_50
274,4212.667370192135,-1339.255833014751,-2114.297264092856,L3,S1FL,ObjectiveCSD_Disk_50
275,4224.714870192135,-1342.2753330147511,-2098.621264092856,L3,S1FL,ObjectiveCSD_Disk_50
276,4236.762370192135,-1345.294833014751,-2082.9452640928557,L3,S1FL,ObjectiveCSD_Disk_50
277,4248.809370192135,-1348.314333014751,-2067.268764092856,L3,S1FL,ObjectiveCSD_Disk_50
278,4260.856370192135,-1351.333833014751,-2051.592264092856,L3,S1FL,ObjectiveCSD_Disk_50
279,4272.9038701921345,-1354.3533330147511,-2035.916264092856,L3,S1FL,ObjectiveCSD_Disk_50
280,4284.951370192135,-1357.372833014751,-2020.2402640928558,L3,S1FL,ObjectiveCSD_Disk_50
281,4296.998870192136,-1360.3923330147509,-2004.5637640928558,L3,S1FL,ObjectiveCSD_Disk_50
282,4309.046370192135,-1363.411833014751,-1988.887264092856,L3,S1FL,ObjectiveCSD_Disk_50
283,4321.093870192135,-1366.431333014751,-1973.2112640928558,L3,S1FL,ObjectiveCSD_Disk_50
284,4333.141370192136,-1369.450833014751,-1957.5352640928559,L3,S1FL,ObjectiveCSD_Disk_50
285,4345.188370192135,-1372.4703330147508,-1941.859264092856,L3,S1FL,ObjectiveCSD_Disk_50
286,4357.235370192135,-1375.489833014751,-1926.183264092856,L3,S1FL,ObjectiveCSD_Disk_50
287,4369.282870192135,-1378.509333014751,-1910.506764092856,L3,S1FL,ObjectiveCSD_Disk_50
288,4381.330370192135,-1381.528833014751,-1894.830264092856,L3,S1FL,ObjectiveCSD_Disk_50
289,4393.377870192135,-1384.5483330147508,-1879.154264092856,L2,S1FL,ObjectiveCSD_Disk_50
290,4405.425370192135,-1387.567833014751,-1863.478264092856,L2,S1FL,ObjectiveCSD_Disk_50
291,4417.472870192136,-1390.587333014751,-1847.801764092856,L2,S1FL,ObjectiveCSD_Disk_50
292,4429.5203701921355,-1393.606833014751,-1832.125264092856,L2,S1FL,ObjectiveCSD_Disk_50
293,4441.567870192135,-1396.6263330147508,-1816.449264092856,L2,S1FL,ObjectiveCSD_Disk_50
294,4453.615370192135,-1399.645833014751,-1800.773264092856,L2,S1FL,ObjectiveCSD_Disk_50
295,4465.662370192134,-1402.665333014751,-1785.0972640928558,L2,S1FL,ObjectiveCSD_Disk_50
296,4477.709370192135,-1405.684833014751,-1769.4212640928558,L1,S1FL,ObjectiveCSD_Disk_50
297,4489.7568701921355,-1408.7043330147508,-1753.7447640928558,L1,S1FL,ObjectiveCSD_Disk_50
298,4501.804370192135,-1411.7238330147509,-1738.0682640928558,L1,S1FL,ObjectiveCSD_Disk_50
299,4513.851870192135,-1414.7428330147509,-1722.3922640928558,L1,S1FL,ObjectiveCSD_Disk_50
300,4525.899370192135,-1417.761833014751,-1706.716264092856,L1,S1FL,ObjectiveCSD_Disk_50
301,4537.946870192135,-1420.781333014751,-1691.0397640928559,L1,S1FL,ObjectiveCSD_Disk_50
302,4549.994370192135,-1423.8008330147509,-1675.3632640928558,L1,S1FL,ObjectiveCSD_Disk_50
